Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2024-01-01,0,-2451,-4105,-4963,-4918,-4264,-3285,-2689,-2812,-4863,-6555,-8046,-8620,-7854,-5833,-3516,-941,2375,3692,3491,2748,1724,1530,1295
2024-01-02,0,-2310,-3527,-3937,-3129,-1052,3297,10287,19011,22510,22430,20468,17113,19404,20420,21012,21488,21240,19332,17205,14444,12132,12339,11537
2024-01-03,0,-2555,-4032,-4502,-4115,-2395,1173,6832,14539,17726,16839,14068,9690,13155,14441,14624,15580,15153,13527,11735,9083,6687,6381,5704
2024-01-04,0,-2485,-3712,-4283,-3769,-2135,1511,7563,14266,13926,10677,6919,2553,5112,6881,9125,11919,12679,11517,9916,7146,4739,4440,3769
2024-01-05,0,-2688,-4322,-4987,-4689,-3286,286,5558,12401,13325,11801,9123,4700,6466,7251,7697,8954,9111,8154,6747,4640,2659,2740,2277
2024-01-06,0,-2424,-3992,-4818,-4566,-3814,-2142,-664,37,-2642,-5715,-8468,-11122,-10088,-8094,-5469,-1959,737,2023,1634,810,-276,573,559
2024-01-07,0,-2496,-4108,-4935,-4678,-3960,-2848,-2126,-1700,-3246,-5671,-8593,-9800,-9066,-7217,-4162,388,4676,6596,6221,5233,3873,3615,3463
2024-01-08,0,-2378,-3387,-3796,-3216,-1137,3709,11224,19916,20075,16795,13145,8299,10830,12661,15305,19016,19962,18428,16172,13179,10339,10158,9398
2024-01-09,0,-2657,-4224,-5133,-4793,-3287,266,6256,14342,18046,18568,17542,13961,16423,16564,16119,15966,14484,12040,9519,6358,3725,3671,2950
2024-01-10,0,-2522,-3952,-4749,-4345,-2775,818,6477,14225,16227,14650,11303,6222,8444,9455,10701,12776,13127,11803,10053,7402,4922,4855,4110
2024-01-11,0,-2532,-3934,-4768,-4404,-2859,723,6323,13540,15164,13110,9654,3959,6871,8700,10538,12219,12159,10699,8718,5902,3389,3436,2667
2024-01-12,0,-2742,-4256,-4915,-4397,-2750,787,6131,12734,12393,8874,4635,-334,1795,3247,5647,8872,10125,9206,7648,5487,3443,3726,3357
2024-01-13,0,-2543,-4142,-5050,-4831,-4227,-2724,-1275,-655,-3528,-6558,-9474,-12410,-11930,-10764,-7862,-4128,-1026,663,263,-564,-1665,-668,-680
2024-01-14,0,-2513,-4093,-5031,-4919,-4159,-3039,-2204,-2843,-5756,-6942,-7552,-7216,-5694,-3222,-1551,-267,2073,3212,2707,1886,776,630,609
