Date,Open
2022-01-03,4778.14
2022-01-04,4804.51
2022-01-05,4787.99
2022-01-06,4693.39
2022-01-07,4697.66
2022-01-10,4655.34
2022-01-11,4669.14
2022-01-12,4728.59
2022-01-13,4733.56
2022-01-14,4637.99
2022-01-18,4632.24
2022-01-19,4588.03
2022-01-20,4547.35
2022-01-21,4471.38
2022-01-24,4356.32
2022-01-25,4366.64
2022-01-26,4408.43
2022-01-27,4380.58
2022-01-28,4336.19
2022-01-31,4431.79
2022-02-01,4519.57
2022-02-02,4566.39
2022-02-03,4535.41
2022-02-04,4482.79
2022-02-07,4505.75
2022-02-08,4480.02
2022-02-09,4547.00
2022-02-10,4553.24
2022-02-11,4506.27
2022-02-14,4412.61
2022-02-15,4429.28
2022-02-16,4455.75
2022-02-17,4456.06
2022-02-18,4384.57
2022-02-22,4332.74
2022-02-23,4324.93
2022-02-24,4155.77
2022-02-25,4298.38
2022-02-28,4354.17
2022-03-01,4363.14
2022-03-02,4322.56
2022-03-03,4401.31
2022-03-04,4342.12
2022-03-07,4327.01
2022-03-08,4202.66
2022-03-09,4223.10
2022-03-10,4252.55
2022-03-11,4279.50
2022-03-14,4202.75
2022-03-15,4188.82
2022-03-16,4288.14
2022-03-17,4345.11
2022-03-18,4407.34
2022-03-21,4462.40
2022-03-22,4469.10
2022-03-23,4493.10
2022-03-24,4469.98
2022-03-25,4522.91
2022-03-28,4541.09
2022-03-29,4602.86
2022-03-30,4624.20
2022-03-31,4599.02
2022-04-01,4540.32
2022-04-04,4547.97
2022-04-05,4572.45
2022-04-06,4494.17
2022-04-07,4474.65
2022-04-08,4494.15
2022-04-11,4462.64
2022-04-12,4437.59
2022-04-13,4394.30
2022-04-14,4449.12
2022-04-18,4385.63
2022-04-19,4390.63
2022-04-20,4472.26
2022-04-21,4489.17
2022-04-22,4385.83
2022-04-25,4255.34
2022-04-26,4278.14
2022-04-27,4186.52
2022-04-28,4222.58
2022-04-29,4253.75
2022-05-02,4130.61
2022-05-03,4159.78
2022-05-04,4181.18
2022-05-05,4270.43
2022-05-06,4128.17
2022-05-09,4081.27
2022-05-10,4035.18
2022-05-11,3990.08
2022-05-12,3903.95
2022-05-13,3963.90
2022-05-16,4013.02
2022-05-17,4052.00
